Name,Platform,Year,Genre,Publisher
Homefront: The Revolution,PS4,2016,Shooter,Deep Silver
Star Ocean 5: Integrity and Faithlessness,PS4,2016,Role-Playing,Square Enix
Dragon Quest Builders: Revive Alefgard,PSV,2016,Role-Playing,Square Enix
World of Warcraft: Legion,PC,2016,Role-Playing,Activision
One Piece: Burning Blood,PS4,2016,Fighting,Namco Bandai Games
Pro Evolution Soccer 2017,PS4,2016,Sports,Konami Digital Entertainment
Naruto Shippuden: Ultimate Ninja Storm 4,XOne,2016,Fighting,Namco Bandai Games
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS4,2016,Action,Square Enix
UEFA Euro 2016,PS4,2016,Sports,Konami Digital Entertainment
F1 2016 (Codemasters),PS4,2016,Racing,Codemasters
Ace Attorney 6,3DS,2016,Adventure,Capcom
Mario & Sonic at the Rio 2016 Olympic Games,WiiU,2016,Action,Nintendo
Lego Star Wars: The Force Awakens,XOne,2016,Action,Warner Bros. Interactive Entertainment
LEGO Marvel's Avengers,WiiU,2016,Action,Warner Bros. Interactive Entertainment
LEGO Marvel's Avengers,PSV,2016,Action,Warner Bros. Interactive Entertainment
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PSV,2016,Action,Square Enix
Rocket League,PS4,2016,Sports,505 Games
Battleborn,PS4,2016,Shooter,Take-Two Interactive
Dragon Quest Builders: Revive Alefgard,PS4,2016,Role-Playing,Square Enix
Tales of Berseria,PS4,2016,Role-Playing,Namco Bandai Games
Attack on Titan (KOEI),PS4,2016,Action,Tecmo Koei
XCOM 2,PC,2016,Strategy,Take-Two Interactive
NHL 17,PS4,2016,Sports,Electronic Arts
BioShock The Collection,PS4,2016,Shooter,Take-Two Interactive
Puzzle & Dragons X: God Chapter / Dragon Chapter,3DS,2016,Action,GungHo
Mega Man Legacy Collection,3DS,2016,Platform,Capcom
Story of Seasons: Good Friends of the Three Villages,3DS,2016,Simulation,Marvelous Interactive
Kan Colle Kai,PSV,2016,Action,Kadokawa Games
The Heavy Rain and Beyond: Two Souls Collection,PS4,2016,Action,Sony Computer Entertainment
LEGO Marvel's Avengers,3DS,2016,Action,Warner Bros. Interactive Entertainment
Odin Sphere: Leifthrasir,PS4,2016,Role-Playing,Nippon Ichi Software
Doom (2016),PC,2016,Shooter,Bethesda Softworks
FIFA 17,X360,2016,Sports,Electronic Arts
Jikkyou Powerful Pro Baseball 2016,PSV,2016,Sports,Konami Digital Entertainment
Shin Megami Tensei IV: Final,3DS,2016,Role-Playing,Deep Silver
Jikkyou Powerful Pro Baseball 2016,PS4,2016,Sports,Konami Digital Entertainment
Valkyria Chronicles,PS4,2016,Role-Playing,Sega
Dragon Ball: Fusions,3DS,2016,Role-Playing,Namco Bandai Games
MLB 16: The Show,PS3,2016,Action,Sony Computer Entertainment
Yakuza Kiwami,PS4,2016,Adventure,Sega
NHL 17,XOne,2016,Sports,Electronic Arts
Mirror's Edge Catalyst,XOne,2016,Platform,Electronic Arts
Odin Sphere: Leifthrasir,PSV,2016,Role-Playing,Nippon Ichi Software
Deus Ex: Mankind Divided,XOne,2016,Role-Playing,Square Enix
Far Cry: Primal,PC,2016,Action,Ubisoft
Attack on Titan (KOEI),PSV,2016,Action,Tecmo Koei
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS3,2016,Action,Square Enix
Battleborn,XOne,2016,Shooter,Take-Two Interactive
Lego Star Wars: The Force Awakens,PS3,2016,Action,Warner Bros. Interactive Entertainment
Homefront: The Revolution,XOne,2016,Shooter,Deep Silver
Rocket League,XOne,2016,Sports,505 Games
Gundam Breaker 3,PSV,2016,Action,Namco Bandai Games
7 Days to Die,PS4,2016,Action,Telltale Games
Hatsune Miku: Project Diva X,PSV,2016,Misc,Sega
Assassin's Creed Chronicles,PSV,2016,Action,Ubisoft
Dragon Quest Builders: Revive Alefgard,PS3,2016,Role-Playing,Square Enix
Etrian Odyssey V,3DS,2016,Role-Playing,Atlus
Yakuza Kiwami,PS3,2016,Adventure,Sega
Dead Island Definitive Collection,PS4,2016,Action,Deep Silver
DiRT Rally,XOne,2016,Racing,Codemasters
UEFA Euro 2016,PS3,2016,Sports,Konami Digital Entertainment
Life is Strange,XOne,2016,Adventure,Square Enix
Jikkyou Powerful Pro Baseball 2016,PS3,2016,Sports,Konami Digital Entertainment
Tales of Berseria,PS3,2016,Role-Playing,Namco Bandai Games
One Piece: Burning Blood,PSV,2016,Fighting,Namco Bandai Games
Digimon Story: Cyber Sleuth,PS4,2016,Role-Playing,Namco Bandai Games
Lego Star Wars: The Force Awakens,X360,2016,Action,Warner Bros. Interactive Entertainment
Toukiden 2,PSV,2016,Action,Tecmo Koei
Total War: WARHAMMER,PC,2016,Strategy,Sega
Rise of the Tomb Raider,PC,2016,Adventure,Square Enix
Persona 5,PS3,2016,Role-Playing,Unknown
ReCore,XOne,2016,Action,Microsoft Game Studios
Taiko no Tatsujin: Don Don! Mystery Adventure,3DS,2016,Action,Namco Bandai Games
Gundam Breaker 3,PS4,2016,Action,Namco Bandai Games
The King of Fighters XIV,PS4,2016,Fighting,Deep Silver
Digimon World: Next Order,PSV,2016,Action,Namco Bandai Games
Lego Star Wars: The Force Awakens,PSV,2016,Action,Warner Bros. Interactive Entertainment
The Idolmaster: Platinum Stars,PS4,2016,Simulation,Namco Bandai Games
Disney Art Academy,3DS,2016,Action,Nintendo
Super Robot Wars OG: The Moon Dwellers,PS4,2016,Misc,Namco Bandai Games
F1 2016 (Codemasters),XOne,2016,Racing,Codemasters
Lego Star Wars: The Force Awakens,WiiU,2016,Action,Warner Bros. Interactive Entertainment
Ys VIII: Lacrimosa of Dana,PSV,2016,Role-Playing,Nihon Falcom Corporation
Toukiden 2,PS4,2016,Action,Tecmo Koei
MXGP 2,PS4,2016,Racing,Milestone S.r.l.
BioShock The Collection,XOne,2016,Shooter,Take-Two Interactive
Madden NFL 17,X360,2016,Sports,Electronic Arts
Assassin's Creed Chronicles,PS4,2016,Action,Ubisoft
Terraria,3DS,2016,Action,505 Games
Madden NFL 17,PS3,2016,Sports,Electronic Arts
Mega Man Legacy Collection,PS4,2016,Platform,Capcom
Resident Evil Zero,XOne,2016,Action,Capcom
Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS4,2016,Action,Activision
Guilty Gear Xrd -Revelator-,PS4,2016,Fighting,PQube
Battleborn,PC,2016,Shooter,Take-Two Interactive
Guilty Gear Xrd -Revelator-,PS3,2016,Fighting,PQube
Resident Evil 6,PS4,2016,Shooter,Capcom
Lego Star Wars: The Force Awakens,3DS,2016,Action,Warner Bros. Interactive Entertainment
Song of the Deep,PS4,2016,Action,Insomniac Games
Valentino Rossi: The Game,PS4,2016,Racing,Namco Bandai Games
Pro Evolution Soccer 2017,PS3,2016,Sports,Konami Digital Entertainment
Zero Escape: Zero Time Dilemma,3DS,2016,Adventure,Aksys Games
Zero Escape: Zero Time Dilemma,PSV,2016,Adventure,Aksys Games
Odin Sphere: Leifthrasir,PS3,2016,Role-Playing,Nippon Ichi Software
Destiny: The Collection,PS4,2016,Shooter,Activision
Attack on Titan (KOEI),PS3,2016,Action,Tecmo Koei
TrackMania Turbo,XOne,2016,Action,Ubisoft
Summon Night 6: Lost Borders,PSV,2016,Action,Namco Bandai Games
Ansatsu Kyoushitsu: Assassin Ikusei Keikaku!!,3DS,2016,Action,Namco Bandai Games
Super Robot Wars OG: The Moon Dwellers,PS3,2016,Misc,Namco Bandai Games
Project Setsuna,PS4,2016,Role-Playing,Square Enix
Sumikko Gurashi: Mura o Tsukurundesu,3DS,2016,Misc,Nippon Columbia
Kamen Rider: Battride War Genesis,PS4,2016,Action,Namco Bandai Games
NBA 2K17,X360,2016,Sports,Take-Two Interactive
Dark Souls III,PC,2016,Role-Playing,Namco Bandai Games
Uta no Prince-Sama: Music 3,PSV,2016,Action,Broccoli
ZombiU,PS4,2016,Action,Ubisoft
Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS3,2016,Action,Activision
Utawarerumono: Futari no Hakuoro,PSV,2016,Misc,Aqua Plus
FIFA 17,PC,2016,Sports,Electronic Arts
Culdcept Revolt,3DS,2016,Strategy,Nintendo
Dead or Alive Xtreme 3: Fortune,PS4,2016,Sports,Tecmo Koei
Project Setsuna,PSV,2016,Role-Playing,Square Enix
Assetto Corsa,PS4,2016,Racing,505 Games
Street Fighter V,PC,2016,Fighting,Capcom
Caligula,PSV,2016,Role-Playing,FuRyu
The Technomancer,PS4,2016,Role-Playing,Focus Home Interactive
Mirror's Edge Catalyst,PC,2016,Platform,Electronic Arts
Pro Cycling Manager 2016,PS4,2016,Sports,Focus Home Interactive
MXGP 2,XOne,2016,Racing,Milestone S.r.l.
NBA 2K17,PS3,2016,Sports,Take-Two Interactive
Kamen Rider: Battride War Genesis,PSV,2016,Action,Namco Bandai Games
Mighty No. 9,PS4,2016,Platform,Deep Silver
Plants vs. Zombies: Garden Warfare 2,PC,2016,Shooter,Electronic Arts
Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,PS4,2016,Misc,Tecmo Koei
Dead Island Definitive Collection,XOne,2016,Action,Deep Silver
Rugby Challenge 3,PS3,2016,Sports,Alternative Software
Sébastien Loeb Rally Evo,PS4,2016,Racing,Milestone S.r.l
R.B.I. Baseball 2016,XOne,2016,Sports,MLB.com
Life is Strange,PC,2016,Adventure,Square Enix
Card Fight!! Vanguard G: Stride to Victory!!,3DS,2016,Misc,FuRyu
Refrain no Chika Meikyuu to Majo no Ryodan,PSV,2016,Action,Nippon Ichi Software
Utawarerumono: Futari no Hakuoro,PS4,2016,Misc,Aqua Plus
Kamen Rider: Battride War Genesis,PS3,2016,Action,Namco Bandai Games
Hitman (2016),PS4,2016,Action,Square Enix
7 Days to Die,XOne,2016,Action,Telltale Games
XCOM 2,PS4,2016,Strategy,Take-Two Interactive
One Piece: Burning Blood,XOne,2016,Fighting,Namco Bandai Games
Star Ocean 5: Integrity and Faithlessness,PS3,2016,Role-Playing,Square Enix
Haikyu!! Cross Team Match!,3DS,2016,Adventure,Namco Bandai Games
Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,PSV,2016,Misc,Tecmo Koei
Song of the Deep,XOne,2016,Action,Insomniac Games
Rugby Challenge 3,PS4,2016,Sports,Alternative Software
Hatsune Miku: Project Diva X,PS4,2016,Misc,Sega
Bullet Girls 2,PSV,2016,Action,D3Publisher
Resident Evil 6,XOne,2016,Shooter,Capcom
Doraemon: Shin Nobita no Nihon Tanjou,3DS,2016,Misc,FuRyu
Destiny: The Collection,XOne,2016,Shooter,Activision
12-Sai. Koisuru Diary,3DS,2016,Adventure,Happinet
Aegis of Earth: Protonovus Assault,PSV,2016,Action,PQube
Batman: A Telltale Game Series,PS4,2016,Adventure,Telltale Games
Resident Evil 4 HD,PS4,2016,Shooter,Capcom
Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,PS3,2016,Misc,Tecmo Koei
Teenage Mutant Ninja Turtles: Mutants in Manhattan,XOne,2016,Action,Activision
Dead or Alive Xtreme 3: Venus,PSV,2016,Sports,Tecmo Koei
NASCAR Heat Evolution,PS4,2016,Racing,Dusenberry Martin Racing
Metroid Prime: Federation Force,3DS,2016,Action,Nintendo
Sonic Boom: Fire & Ice,3DS,2016,Platform,Sega
Gakusen Toshi Asterisk Festa: Houka Kenran,PSV,2016,Fighting,Namco Bandai Games
Hearts of Iron IV,PC,2016,Strategy,Paradox Interactive
Summon Night 6: Lost Borders,PS4,2016,Action,Namco Bandai Games
Atelier Shallie Plus: Alchemists of the Dusk Sea,PSV,2016,Role-Playing,Tecmo Koei
Teenage Mutant Ninja Turtles: Mutants in Manhattan,X360,2016,Action,Activision
Need for Speed (2015),PC,2016,Racing,Electronic Arts
Pro Cycling Manager 2016,PC,2016,Sports,Focus Home Interactive
Attack on Titan (KOEI),XOne,2016,Action,Tecmo Koei
Medabots Girls Mission: Metabee Ver. / Rokusho Ver.,3DS,2016,Role-Playing,Rocket Company
My Hero Academia: Battle for All,3DS,2016,Action,Namco Bandai Games
Stellaris,PC,2016,Strategy,Paradox Interactive
Ao no Kanata no Four Rhythm,PSV,2016,Adventure,Unknown
Ghostbusters (2016),PS4,2016,Action,Activision
Darius Burst: Chronicle Saviours,PSV,2016,Action,Kadokawa Games
Aegis of Earth: Protonovus Assault,PS3,2016,Action,PQube
Pro Evolution Soccer 2017,XOne,2016,Sports,Konami Digital Entertainment
DiRT Rally,PC,2016,Racing,Codemasters
3DS Classic Collection,3DS,2016,Misc,Sega
Sengoku Basara: Sanada Yukimura-Den,PS4,2016,Action,Capcom
Terraria,WiiU,2016,Action,505 Games
Diabolik Lovers: Lunatic Parade,PSV,2016,Adventure,Idea Factory
Psycho-Pass: Mandatory Happiness,PS4,2016,Adventure,Nippon Ichi Software
Yuusha Shisu.,PSV,2016,Role-Playing,Nippon Ichi Software
Ghostbusters (2016),XOne,2016,Action,Activision
Naruto Shippuden: Ultimate Ninja Storm Collection,PS3,2016,Action,Namco Bandai Games
Bus Simulator 16,PC,2016,Simulation,Astragon
Teddy Together,3DS,2016,Simulation,Nintendo
Rugby Challenge 3,X360,2016,Sports,Alternative Software
Kenka Bancho Otome,PSV,2016,Action,Screenlife
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.9,PS3,2016,Misc,Namco Bandai Games
Tokyo Xanadu eX+,PS4,2016,Role-Playing,Nihon Falcom Corporation
NASCAR Heat Evolution,XOne,2016,Racing,Dusenberry Martin Racing
La Corda d'Oro 4,PSV,2016,Action,Tecmo Koei
Prison Architect,PS4,2016,Action,Introversion Software
Genkai Tokki: Seven Pirates,PSV,2016,Role-Playing,Compile Heart
Rocket League,PC,2016,Sports,505 Games
Aegis of Earth: Protonovus Assault,PS4,2016,Action,PQube
Sengoku Otome: Legend Battle,PSV,2016,Action,Unknown
Valentino Rossi: The Game,XOne,2016,Racing,Namco Bandai Games
Hyakka Hyakurou: Sengoku Ninpoujou,PSV,2016,Adventure,D3Publisher
Gochuumon wa Usagi Desu ka?? Wonderful Party!,PSV,2016,Adventure,5pb
F1 2016 (Codemasters),PC,2016,Racing,Codemasters
Dead Rising,PS4,2016,Action,Capcom
Homefront: The Revolution,PC,2016,Shooter,Deep Silver
The Technomancer,XOne,2016,Role-Playing,Focus Home Interactive
The Legend of Heroes: Trails in the Sky Third Chapter,PSV,2016,Role-Playing,Nihon Falcom Corporation
Anima - Gate of Memories,PS4,2016,Action,Avanquest
Psycho-Pass: Mandatory Happiness,PSV,2016,Adventure,Nippon Ichi Software
Resident Evil: Umbrella Corps,PS4,2016,Action,Capcom
Deus Ex: Mankind Divided,PC,2016,Role-Playing,Square Enix
RollerCoaster Tycoon World,PC,2016,Simulation,Atari
Resident Evil Zero,PC,2016,Action,Capcom
Dino Dini's Kick Off Revival,PS4,2016,Sports,Avanquest
Mighty No. 9,WiiU,2016,Platform,Deep Silver
Agatha Christie: The ABC Murders,PC,2016,Adventure,Microids
Black Rose Valkyrie,PS4,2016,Role-Playing,Idea Factory
Agatha Christie's The ABC Murders,PS4,2016,Adventure,Microids
Rose to Tasogare no Kojou,PSV,2016,Action,Nippon Ichi Software
Sengoku Basara: Sanada Yukimura-Den,PS3,2016,Action,Capcom
Hakuoki: Shinkai - Hana no Shou,PSV,2016,Adventure,Idea Factory
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.8,PS3,2016,Misc,Namco Bandai Games
Call of Duty: Modern Warfare Trilogy,PS3,2016,Shooter,Activision
Toukiden 2,PS3,2016,Action,Tecmo Koei
Song of the Deep,PC,2016,Action,Insomniac Games
Winning Post 8 2016,PS4,2016,Simulation,Tecmo Koei
This War of Mine,PS4,2016,Action,Deep Silver
Nil Admirari no Tenbin: Teito Genwaku Toukidan,PSV,2016,Adventure,Idea Factory
Arslan: The Warriors of Legend,XOne,2016,Action,Tecmo Koei
Revolution: 25th Anniversary Collection,PC,2016,Adventure,Koch Media
"Moshi, Kono Sekai ni Kami-sama ga Iru to suru Naraba.",PSV,2016,Adventure,N/A
XCOM 2,XOne,2016,Strategy,Take-Two Interactive
Call of Duty: Modern Warfare Trilogy,X360,2016,Shooter,Activision
Assault Suit Leynos,PS4,2016,Shooter,Rising Star Games
Taishou Moebius Line Vitable,PSV,2016,Adventure,dramatic create
MuvLuv Double Pack,PSV,2016,Adventure,5pb
Koihime Enbu,PS4,2016,Fighting,Yeti
Worms: WMD,PS4,2016,Action,Sold Out
Storm Lover 2nd V,PSV,2016,Adventure,D3Publisher
Touhou Genso Rondo: Bullet Ballet,PS4,2016,Shooter,Nippon Ichi Software
Coven and Labyrinth of Refrain,PSV,2016,Action,Nippon Ichi Software
Super Battle For Money Sentouchuu: Kyuukyoku no Shinobu to Battle Player Choujou Kessen!,3DS,2016,Action,Namco Bandai Games
One Piece: Daikaizoku Coliseum,3DS,2016,Fighting,Namco Bandai Games
God Eater Off Shot: Soma Shikkuzaru-hen Twin Pack & Animation Vol.4,PS4,2016,Action,Namco Bandai Games
Uppers,PSV,2016,Action,Marvelous Entertainment
Wand of Fortune R,PSV,2016,Adventure,Idea Factory
Utawarerumono: Futari no Hakuoro,PS3,2016,Misc,Aqua Plus
God Eater Off Shot:Shiou-hen Twin Pack & Animation Vol.5,PS4,2016,Misc,Namco Bandai Games
Battle Worlds: Kronos,PC,2016,Strategy,Nordic Games
Resident Evil 5 HD,PS4,2016,Action,Capcom
Collar x Malice,PSV,2016,Action,Idea Factory
Dragon's Dogma Online: Season 2,PS4,2016,Action,Capcom
Republique,PS4,2016,Action,Nippon Ichi Software
Shin Hayarigami 2,PSV,2016,Adventure,Nippon Ichi Software
Dynasty Warriors: Eiketsuden,PS4,2016,Action,Tecmo Koei
Carmageddon: Max Damage,XOne,2016,Action,Stainless Games
New Interpretation Stranger of Sword City,PSV,2016,Role-Playing,Experience Inc.
Shitsuji ga Aruji o Erabu Toki,PSV,2016,Adventure,Unknown
Batman: A Telltale Game Series,PS3,2016,Adventure,Telltale Games
Valentino Rossi: The Game,PC,2016,Racing,Namco Bandai Games
The Book of Unwritten Tales 2,WiiU,2016,Adventure,Nordic Games
Paragon,PS4,2016,Action,Epic Games
Assetto Corsa,XOne,2016,Racing,505 Games
Sangoku Koi Senki: Omoide Gaeshi - CS Edition,PSV,2016,Adventure,Prototype
Period Cube: Torikago no Amadeus,PSV,2016,Action,Idea Factory
MXGP 2,PC,2016,Racing,Milestone S.r.l.
Cities: Skylines Snowfall,PC,2016,Simulation,Paradox Development
Dance with Devils,PSV,2016,Action,N/A
TrackMania Turbo,PC,2016,Action,Ubisoft
The Technomancer,PC,2016,Role-Playing,Focus Home Interactive
Goat Simulator,XOne,2016,Simulation,Koch Media
Kamigami no Asobi InFinite,PSV,2016,Adventure,Broccoli
Assassin's Creed Chronicles,XOne,2016,Action,Ubisoft
Azure Striker Gunvolt: Striker Pack,3DS,2016,Action,Inti Creates
Total War Attila: Tyrants & Kings,PC,2016,Strategy,Koch Media
Sébastien Loeb Rally Evo,XOne,2016,Racing,Milestone S.r.l
Hitman (2016),XOne,2016,Action,Square Enix
God Eater Off Shot: Tachibana Sakuya-hen Twin Pack & Animation Vol.7,PS4,2016,Action,Namco Bandai Games
Codename: Panzers Complete Collection,PC,2016,Strategy,Nordic Games
Mighty No. 9,XOne,2016,Platform,Deep Silver
Resident Evil 4 HD,XOne,2016,Shooter,Capcom
Farming 2017 - The Simulation,PS4,2016,Simulation,UIG Entertainment
Rugby Challenge 3,XOne,2016,Sports,Alternative Software
Chou Ezaru wa Akai Hana: Koi wa Tsuki ni Shirube Kareru,PSV,2016,Action,dramatic create
Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision
FIFA 16,PS4,2015,Sports,Electronic Arts
Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts
Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks
Splatoon,WiiU,2015,Shooter,Nintendo
Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment
Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios
Fallout 4,XOne,2015,Role-Playing,Bethesda Softworks
NBA 2K16,PS4,2015,Sports,Take-Two Interactive
Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive Entertainment
The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games
Star Wars Battlefront (2015),XOne,2015,Shooter,Electronic Arts
Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,Konami Digital Entertainment
Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft
Monster Hunter X,3DS,2015,Action,Capcom
FIFA 16,XOne,2015,Sports,Electronic Arts
Madden NFL 16,PS4,2015,Sports,Electronic Arts
Super Mario Maker,WiiU,2015,Platform,Nintendo
Gears of War: Ultimate Edition,XOne,2015,Shooter,Microsoft Game Studios
Animal Crossing: Happy Home Designer,3DS,2015,Simulation,Nintendo
FIFA 16,PS3,2015,Sports,Electronic Arts
Mortal Kombat X,PS4,2015,Fighting,Warner Bros. Interactive Entertainment
Madden NFL 16,XOne,2015,Sports,Electronic Arts
Need for Speed (2015),PS4,2015,Racing,Electronic Arts
Bloodborne,PS4,2015,Action,Sony Computer Entertainment
The Legend of Zelda: Majora's Mask 3D,3DS,2015,Action,Nintendo
NBA 2K16,XOne,2015,Sports,Take-Two Interactive
Yokai Watch Busters,3DS,2015,Action,Level 5
Tom Clancy's Rainbow Six: Siege,PS4,2015,Shooter,Ubisoft
Battlefield: Hardline,PS4,2015,Shooter,Electronic Arts
Destiny: The Taken King,PS4,2015,Shooter,Activision
Just Cause 3,PS4,2015,Action,Square Enix
Call of Duty: Black Ops 3,PS3,2015,Shooter,Activision
Call of Duty: Black Ops 3,X360,2015,Shooter,Activision
Forza Motorsport 6,XOne,2015,Racing,Microsoft Game Studios
The Order: 1886,PS4,2015,Shooter,Sony Computer Entertainment
The Elder Scrolls Online,PS4,2015,Role-Playing,Bethesda Softworks
FIFA 16,X360,2015,Sports,Electronic Arts
Dying Light,PS4,2015,Action,Warner Bros. Interactive Entertainment
Until Dawn,PS4,2015,Adventure,Sony Computer Entertainment Europe
Mario Party 10,WiiU,2015,Misc,Nintendo
Fire Emblem Fates,3DS,2015,Role-Playing,Nintendo
Batman: Arkham Knight,XOne,2015,Action,Warner Bros. Interactive Entertainment
Mortal Kombat X,XOne,2015,Fighting,Warner Bros. Interactive Entertainment
Rise of the Tomb Raider,XOne,2015,Adventure,Square Enix
Yoshi's Woolly World,WiiU,2015,Platform,Nintendo
Tom Clancy's Rainbow Six: Siege,XOne,2015,Shooter,Ubisoft
Assassin's Creed Syndicate,XOne,2015,Action,Ubisoft
The Elder Scrolls Online,XOne,2015,Role-Playing,Bethesda Softworks
The Witcher 3: Wild Hunt,XOne,2015,Role-Playing,Namco Bandai Games
Fallout 4,PC,2015,Role-Playing,Bethesda Softworks
Just Dance 2016,Wii,2015,Misc,Ubisoft
Battlefield: Hardline,XOne,2015,Shooter,Electronic Arts
WWE 2K16,PS4,2015,Sports,Take-Two Interactive
Pokemon Super Mystery Dungeon,3DS,2015,Role-Playing,Nintendo
Destiny: The Taken King,XOne,2015,Shooter,Activision
Mad Max (2015),PS4,2015,Action,Warner Bros. Interactive Entertainment
The Legend of Zelda: Tri Force Heroes,3DS,2015,Action,Nintendo
Grand Theft Auto V,PC,2015,Action,Take-Two Interactive
Dragon Ball: XenoVerse,PS4,2015,Fighting,Namco Bandai Games
Project CARS,PS4,2015,Racing,Slightly Mad Studios
Madden NFL 16,X360,2015,Sports,Electronic Arts
Final Fantasy Type-0,PS4,2015,Role-Playing,Square Enix
NBA 2K16,X360,2015,Sports,Take-Two Interactive
LEGO Jurassic World,X360,2015,Action,Warner Bros. Interactive Entertainment
Evolve,PS4,2015,Shooter,Take-Two Interactive
LEGO Jurassic World,PS3,2015,Action,Warner Bros. Interactive Entertainment
MLB 15: The Show,PS4,2015,Sports,Sony Computer Entertainment
Minecraft: Story Mode,X360,2015,Adventure,Mojang
LEGO Jurassic World,PS4,2015,Action,Warner Bros. Interactive Entertainment
Just Cause 3,XOne,2015,Action,Square Enix
